tipo,nome,cpf,cnpj,data_nasc,idade,departamento,setor,data_admissao,tipo_fornecimento,email,cep,endereco,numero,bairro,cidade,estado
cliente,João Silva,123.456.789-00,,01/01/1990,,,,,,joao@email.com,12345-678,,,,,
cliente,Lucas Andrade,531.296.850-04,,04/03/1997,,,,,,lucas@gmail.com ,,,,,,
cliente,Mariana Costa,807.514.360-33,,28/11/2008,,,,,,maria@gmail.com,,,,,,
cliente,Rafael Oliveira,419.087.320-72,,05/06/1984,,,,,,rafael@gmail.com,,,,,,
cliente,Juliana Mendes,730.625.940-20,,19/01/2021,,,,,,juliana@gmail.com,,,,,,
cliente,Bruno Ferreira,602.139.780-05,,07/09/1975,,,,,,bruno@gmail.com,,,,,,
cliente,Camila Rocha,158.943.210-97,,23/12/2014,,,,,,camila@gmail.com,,,,,,
funcionario,Lucas Pereira,987.654.321-00,,15/05/1985,,TI,Desenvolvimento,10/02/2020,,lucas.pereira@email.com,,,,,,
funcionario,Amanda Ribeiro,,,03/05/2001,,Suporte Técnico,Suporte,15/03/2021,,amanda.ribeiro@email.com,,,,,,
funcionario,Thiago Martins,,,17/09/1993,,Comercial,Comercial,29/07/2022,,thiago.martins@email.com,,,,,,
funcionario,Juliana Costa,,,22/01/2017,,Comercial,Comercial,04/11/2023,,juliana.costa@email.com,,,,,,
funcionario,Bruno Fernandes,,,08/08/1989,,Suporte Técnico,Suporte,18/01/2024,,bruno.fernandes@email.com,,,,,,
funcionario,Camila Araújo,,,30/11/2010,,Comercial,Comercial,06/06/2025,,camila.araujo@email.com,,,,,,
funcionario,Rafael Lima,,,14/04/2023,,TI,Desenvolvimento,23/09/2021,,rafael.lima@email.co,,,,,,
funcionario,Juliana Ribeiro,,,26/06/1978,,Suporte Técnico,Suporte,12/12/2024,,juliana.ribeiro@email.com,,,,,,
fornecedor,MaxFerr Equipamentos Industriais,,12.345.678/0001-90,,,,,,ferramentas,fornecedor@abc.com,54321-000,Av. Industrial,456,Industrial,Cidade,RJ
,TecnoMáquinas Brasil,,,,,,,,máquinas,fornecedor,,,,,,
,Fornecedora Metalforte,,,,,,,,materiais,,,,,,,
,PowerTool Solutions,,,,,,,,ferramentas,,,,,,,
,AlphaMaq Suprimentos Técnicos,,,,,,,,máquinas,,,,,,,
,Grupo FerroNorte,,,,,,,,materiais,,,,,,,
,NovaEngen Materiais e Máquinas,,,,,,,,máquinas,,,,,,,
,DeltaFix Comercial Técnica,,,,,,,,materiais,,,,,,,
,ToolMaster Distribuidora,,,,,,,,ferramentas,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,1. MaxFerr Equipamentos Industriais -> maxferr.com.br,,,,,,,
,,,,,,,,,2. TecnoMáquinas Brasil -> tecnomaquinas.com.br,,,,,,,
,,,,,,,,,"3. Fornecedora Metalforte -> metalforte.com.br (because ""Fornecedora"" means supplier, so the distinctive part is Metalforte)",,,,,,,
,,,,,,,,,4. PowerTool Solutions -> powertool.com.br,,,,,,,
,,,,,,,,,5. AlphaMaq Suprimentos Técnicos -> alphamaq.com.br,,,,,,,
,,,,,,,,,6. Grupo FerroNorte -> ferronorte.com.br,,,,,,,
,,,,,,,,,7. NovaEngen Materiais e Máquinas -> novaengen.com.br,,,,,,,
,,,,,,,,,8. DeltaFix Comercial Técnica -> deltafix.com.br,,,,,,,
,,,,,,,,,9. ToolMaster Distribuidora -> toolmaster.com.br,,,,,,,
